,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Wells Fargo Referral,jeeba,nan,Eng,Found some positions in Wells Fargo that would be a good fit. Would love to get a referral. Please drop a message here if you can provide a referral.Thanks in advance!,0,0,2020-7-7 19:52:28,/post/Wells-Fargo-Referral-2gwzQkUq,Wells-Fargo
0,Wells Fargo -  Interview with Hiring Manager,wisejester,/company/Oracle/,nan,Is it common to take over a week to set up an interview with the hiring manager? Had the phone screen and that went well and was told the hiring manager would be reaching out to set it up. It's been about a week and a half now. it's for a Business Initiatives Consultant position in New York City.,1,9,2020-7-7 00:15:29,/post/Wells-Fargo---Interview-with-Hiring-Manager-gbbniGX5,Wells-Fargo
0,Wells Fargo layoff machine to crank back up by the end of the year. ,K34fdn,/company/Compass/,nan,Other banks to follow?https://www.abc15.com/news/business/wells-fargo-signals-substantial-layoffs-ahead,2,28,2020-6-21 01:27:35,/post/Wells-Fargo-layoff-machine-to-crank-back-up-by-the-end-of-the-year-FMQqatQV,Wells-Fargo
0,Wells Fargo vs JP Morgan,bumy62,/company/Veritas/,nan,"Need suggestion between a better role and corporate culture - Architect@Wells or VP@ JP Morgan, both IC roles",0,4,2020-7-23 17:18:06,/post/Wells-Fargo-vs-JP-Morgan-Kmu4mfRg,Wells-Fargo
0,wells fargo analytical manager 6 salary?,JzoY02,/company/Bank-of-the-West/,Other,What’s the salary range and tc?,0,0,2021-3-30 20:54:48,/post/wells-fargo-analytical-manager-6-salary-Gb0B8gdd,Wells-Fargo
0,Are Wells Fargo layoffs being handed out next week?,scamdemic,/company/American-Express/,nan,my dad was laid off earlier this year from amex (we worked at the same company) and recently started at wells fargo last month.i keep checking thelayoff and they’re saying august 25 is when managers are being told who to lay off and then meetings will be scheduled next thursday to those getting laid off?also what are my dads chances?,2,3,2020-8-18 18:49:21,/post/Are-Wells-Fargo-layoffs-being-handed-out-next-week-EcNHb5uy,Wells-Fargo
0,Who audits Wells Fargo?,senior,/company/PwC/,nan,I'm just genuinely curious. For those of you that don't know:http://www.forbes.com/sites/ryanwibberley/2016/10/16/could-the-return-of-glass-steagall-prevent-wells-fargo-style-debacles/#27d32a1fde15,13,26,2016-10-17 19:01:57,/post/Who-audits-Wells-Fargo-iOYUfceQ,Wells-Fargo
0,"Contractor offer choice, eBay vs Wells Fargo (Kforce)",VpTq51,/company/AT&T/,IT,"I recently received two contract offers from eBay and Wells Fargo, both are in the Bay Area. But need some help making decisions.eBay: 3 months, the manager says have a high chance of converting to FTE. full-stack role focused on front-end, using JSP. Rate: 50 (Looking for full-time conversion so the rate doesn't matter)Wells Fargo: over 12 months, React front end, Project is migrating the current jQuery website to a new tech stack. Kforce(Vendor) says I can start the green card process in 3 months after I join the company. Less than a year to get I-140 approved. Rate: 65I love the project from wells Fargo since it matches my profile and also Kforce can start the green card process very fast. But converting to FTE is a big deal for me, and I heard eBay can start the green card process as soon as join the company.Any suggestions or advice??, Thank you! #ebay #wellsfargo #software #softwareadvice #offer #tech #techcareer",2,8,2020-7-8 21:43:39,/post/Contractor-offer-choice-eBay-vs-Wells-Fargo-Kforce-RnbLcX3i,Wells-Fargo
0,Wells Fargo India referral please,garuda020,/company/Johnson-Controls/,Project,"Hello all,I recently came across a product owner role at wells fargo that I think is a match to my profile. Could someone please help me with a referral? Thank you!#referral #tech #wellsfargo",0,0,2020-12-8 05:50:36,/post/Wells-Fargo-India-referral-please-20TCbyZx,Wells-Fargo
0,Hiring Process at Wells Fargo taking long,wisejester,/company/Oracle/,nan,"I'm just wondering if Covid is slowing down the hiring process at Wells Fargo or some other issue. I've got about 10 positions that are under review and have been for 2-3 weeks. Any insight would be appreciated. Thanks!edit: Business Initiatives Consultant in Charlotte, NC",1,13,2020-5-28 03:36:09,/post/Hiring-Process-at-Wells-Fargo-taking-long-XF755azL,Wells-Fargo
